PL,MRP element data,Date,Need Dt,PO Message,Days of reschedule,  Material,Material description,Quantity,Qty to Cancel,MOQ,FCST Ref
Waiting Inv.,9690001286/00010,2/14/2023,1/24/2023,Reschedule in,-21,29100099L,"Production Label,29100099_DRAEN,Integrat",167200,0,0,202302
Waiting Inv.,9690001286/00020,3/14/2023,3/17/2023,Reschedule out,3,29100099L,"Production Label,29100099_DRAEN,Integrat",137000,0,0,202304
Waiting Inv.,9690001286/00030,4/14/2023,3/17/2023,Reschedule in,-28,29100099L,"Production Label,29100099_DRAEN,Integrat",132000,0,0,202304
Waiting Inv.,9690001282/00020,3/15/2023,3/17/2023,Reschedule out,2,PRHU0012-1,Ribbon Resina 89x450,10800,0,24,202304
Waiting Inv.,7600000009/00010,2/1/2023,4/16/2023,Reschedule out,74,SOLDERBAR001R,Solder Bar SACX0307 Ind.,726000,67040.19,0,202305
Waiting Inv.,9690001239/00010,3/10/2023,2/14/2023,Reschedule in,-24,02220609L2,Adapter -5degC 45degC 90V 264V 12V/2A,18720,0,60000,202303
Waiting Inv.,9690001239/00020,3/17/2023,2/14/2023,Reschedule in,-31,02220609L2,Adapter -5degC 45degC 90V 264V 12V/2A,18720,0,60000,202303
Waiting Inv.,9690001239/00030,3/24/2023,2/14/2023,Reschedule in,-38,02220609L2,Adapter -5degC 45degC 90V 264V 12V/2A,18720,0,60000,202303
Waiting Inv.,9690001239/00040,3/31/2023,3/17/2023,Reschedule in,-14,02220609L2,Adapter -5degC 45degC 90V 264V 12V/2A,18720,0,60000,202304
Waiting Inv.,9690001239/00050,4/7/2023,3/17/2023,Reschedule in,-21,02220609L2,Adapter -5degC 45degC 90V 264V 12V/2A,14400,0,60000,202304
Waiting Inv.,9660001772/00010,12/30/2023,4/16/2023,Reschedule in,-258,03015BCM,"PCB,EchoLife ONT,HS8145VD,GPON Terminal",10000,0,1,202305
Waiting Inv.,9660001770/00010,12/30/2023,4/16/2023,Reschedule in,-258,03015BCM,"PCB,EchoLife ONT,HS8145VD,GPON Terminal",19358,0,1,202305
Waiting Inv.,9660001769/00010,12/30/2023,3/17/2023,Reschedule in,-288,07090803-001,"Chip Thick Film Resistor,0.0625W,22ohm,+",20000,0,100,202304
